Broken-A Modern Love Story,2010,0-100 block Halleck Street,,RKW Films,,Ryan K. Whiting,Ryan K. Whiting,,,,37.803479,-122.4542968
The Game,1997,1 Bush Street,,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,37.7909782,-122.4000388
Terminator - Genisys,2015,1 Market St. Landmark Building,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,37.79396,-122.39496
Experiment in Terror,1962,1 Montgomery Street at Post,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,37.7894677,-122.4029354
I's,2011,1 Post Street,,Banshee Cinema,,Chris Edgette,Kyle Tuck,,,,37.7888404,-122.4027155
Chance- Season 1 ep110,2016,1 Urbano,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,37.724404,-122.463524
Cardinal X,2015,100 Alemany Blvd.,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,37.7357188,-122.4099429
The Love Bug,1968,100 Block of Lombard Street,Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,David Tomlinson,37.8040525,-122.403384
Time After Time,1979,100 Block of Union Street (Cow Hollow),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,37.7970944,-122.4355125
Looking Season 2 ep 202,2015,100 Church Street,"Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom.","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,37.7692212,-122.4290373
Mrs. Doubtfire,1993,100 Embarcadero Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,37.7933204,-122.3927597
Interview With The Vampire,1994,100 Market Street at 6th Street,,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,37.7942635,-122.3955861
Experiment in Terror,1962,100 St. Germain Avenue,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,37.757655,-122.450512
Chance- Season 1 ep108,2016,1000 Mason St.,,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee,37.7930742,-122.4107104
Vertigo,1958,1007 Gough Street,Tennis courts now sit on the site; in the movie the structure was Carlota Valdes' home.,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,37.7825474,-122.4241386
Can't Stop the Music,1980,101 Henry Adams Place,,EMI Films,Associated Film Distribution (AFD),Nancy Walker,Allan Carr,Ray Simpson,David Hodo,Felipe Rose,37.7681227,-122.4033689
Nine Months,1995,"101 Henry Adams Place, 4th Floor",,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,37.7681227,-122.4033689
Chance- Season 1 ep104,2016,1018 Tennessee St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,37.758936,-122.389657
Chance - Season 1 Pilot,2016,1055 Montgomery St.,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,37.798888,-122.404283
"Murder in the First, Season 2",2015,1059 Texas Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,37.7529055,-122.3946294
Pushing Dead,2016,1069 Tennessee Street,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,37.75836899999999,-122.388981
"Looking ""Special""",2016,1080 Natoma Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,37.7726957,-122.4171274
"Looking ""Special""",2016,10th Street between Market & Mission,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,39.1717863,-86.5105462
